lang	url
en	https://www.vox.com/
en	http://freebeacon.com/
en	http://watchingamerica.com/WA/
en	https://weather.com/fr-FR/
en	https://www.wunderground.com/
en	https://www.westernjournal.com/
en	https://www.wikinews.org/
en	http://www.willakuy.com/
en	http://www.wiretapmag.org/
en	http://womenincrimeink.blogspot.fr/
en	https://womensenews.org/
en	http://www.wsws.org/
en	http://www.wnd.com/
en	http://www.xbiz.com/
en	https://www.xconomy.com/
en	https://yellowhammernews.com/
en	http://www.theyeshivaworld.com/
en	https://www.zdnet.com/
en	https://www.zerohedge.com/
